rating,text,date,trip_type,date_status,gpt_sentiment,predicted_roberta
5,"Visited the cat museum today and really enjoyed it! Some of the bad reviews seem to come from people who struggle with their reading comprehension skills - this is a museum, not a petting zoo or cat café. The museum is within a stunning apartment by a canal with beautiful architecture and details and full of interesting historical paintings and various cat memoriabilia. There are even a few cats walking around or snoozing inside. There is even a peaceful and pretty garden in the back. It's fairly small and provides maybe 30-60 minutes of entertainment but I really enjoyed it and very happy that I visited it. I don't understand the people complaining, as said this place promises a collection of cat related art and that's exactly what you get. I also loved the opportunity to even just visit the inside of one of theses beautiful houses in the city centre.",Jun 2025,Couples,date_with_label,正面,正面
4,"If you really like cats, this is the place for you.  All sorts of art pieces dedicated to cats.  Very interesting.  We have had many cats and this place does the species justice.  There's even a real cat or two roaming around the premises.  Outdoor garden as well.",May 2025,Couples,date_with_label,正面,正面
2,"Truly a disappointment, 2 rooms with paintings depicting cats and photographs of characters with their cats, 2/3 cats spinningPrice 12.50 € per person, at least part of the cost went to feline colonies, cat associations...Money thrown away",Apr 2025,Couples,date_with_label,負面,負面
1,"TOURIST TRAP - Extremely disappointing; mainly if you are going with your children.  Only one cat around (let’s be honest, we heard some hens clucking in the yard!).  They charge €12.5 for a few decrepit premises with very old cat-themed prints and paintings hung on the wall and non-sense memorabilia. Truly, our worst experience in town.",Apr 2025,,date_only,負面,負面
5,"Nice museum. Beautiful house, typical Dutch architecture, full of sculptures, drawings, paintings, posters and photos of cats. It also has a mummy covering several centuries of history. It's worth checking out.",Apr 2025,Couples,date_with_label,正面,正面
5,"My husband and I are are crazy cat people, so when in Amsterdam, of course we had to visit Kattenkabinet (The Cat Cabinet), a museum all about CATS!  Kattenkabinet is a quirky museum with an eclectic collection of cat related objects such as paintings, figurines, and even a mummified cat from 200 BC.  And of course there are actual cats living in the museum.If you like cats, Kattenkabinet is a must see!",Apr 2024,Couples,date_with_label,正面,正面
3,"The Cat Cabin Museum in Amsterdam is a cute and cozy spot, with charming decor and an impressive collection of cat-themed pictures and artwork. However, it’s a bit disappointing for cat lovers, as there was only one cat present during my visit. While the ambiance is delightful, more feline companions would make the experience much better.",Dec 2024,,date_only,中立,負面
4,"Good fun I’d you’ve done the Rijksmuseum, the Van Gogh or MOCO but there’s not much in there to keep you entertained for more than 20 minutes or so, I saw an actual cat in there for all of about ten seconds before they ran off but if you’re worried that it might be too much cat capers for the human mind to tolerate, there are also monkeys and dogs making cameo appearances (along with Lenin, Hemingway and Dali)",Dec 2024,Solo,date_with_label,中立,中立
1,"I love cats, but this is just a waste of money. A  few cat pictures and two live cats. I had to walk around it twice to make sure I didn't miss something, but no, that is it. A few cat pictures (all found on the internet anyway) and two sleeping cats. That was it. Massively disappointing. A pure tourist trap and one of the most expensive 20 minutes of my life.",Dec 2024,Friends,date_with_label,負面,負面
2,A lot Picture of cats- that’s all 🧐 the ticket was expensive enough - no real cats - and no good deals about the pictures or interesting stories,Dec 2024,Solo,date_with_label,負面,負面
5,"This was an absolutely fantastic experience in such a beautiful building with a lovely quirky collection, we even saw a tuxedo cat and a calico cat! The art was amazing and the story behind this museum is lovely",Nov 2024,Couples,date_with_label,正面,正面
3,"I have a love for cats so knew I wanted to try this place out. Entry is a fair price and there is basically a house and garden to explore and see lots of different cat artworks, status and pictures. This was all very interesting and I especially enjoyed seeing the mummified cat which is something I’ve never seen before. However, based on reviews and the many litter trays dotted about the house, there were no cats. We went about an hour before closing time and it seemed the cats had had their fill for the day and had gone to bed. Not the worst thing in the world, but it would’ve been nice to see them. Overall, I think if you’re a cat lover, you’ll enjoy this. Otherwise, I think it’ll be a bit underwhelming.",Nov 2024,Couples,date_with_label,中立,中立
4,"KattenKabinet is a cat lover’s paradise, consisting of several rooms of eclectic cat art, including a shrine where you can leave a message to your own cat. When we visited, there were also a few actual cats roaming around! This is definitely a quick visit, but a fun stop in. Bonus - you get a little peek into a beautiful canal house! I think some people might think this is overpriced, but I really enjoyed my brief stop here.",Oct 2024,Couples,date_with_label,正面,正面
1,"If you’re going primarily to see the actual cats you will be disappointed. The cat art and history  is great, but it is clearly advertised as being like “full of cats”. There was 1 cat and he immediately tried to scratch and bite me ☹️ 100% not worth the money.",Oct 2024,Friends,date_with_label,負面,負面
5,Amazing place. Has loads of cat themed artworks and decor. Overall we really enjoyed the chill vibe as you explore. Also there is real cats that you get to say hi too! :),Oct 2024,Friends,date_with_label,正面,正面
5,"Lovely fun little museum, lots to read about and see, from paintings, scultures and advertising, a must for cat lovers visting Amsterdam",Sep 2024,Couples,date_with_label,正面,正面
4,"Very nice museum with a lovely array of cat things to look at, there are live cats in there although we didn’t see them :( there is also a garden but that was closed during our visit (April) it opens during nicer weather. It is quite small so you can get around it fast but we paid €5 and felt it was certainly well worth the priceThey don’t allow bags to be taken round but they let you leave it behind reception and give you a little cat card with a number on so you don’t take another persons bag.Loved it in here, the building was also very lovely, will have to visit again in the warmer months for the garden, and hopefully see the resident cats :)",Apr 2024,Friends,date_with_label,正面,正面
5,A great hidden spot along Amsterdam's canals - a must see if you are a cat lover like myself. More of a cat-shrine than museum but still a great visit and worth the trip!,Oct 2023,Solo,date_with_label,正面,正面
4,"A special museum. Not only because you enter such a stately canal house, but also the reason for this museum, the noble hangover JP Morgan. The museum is small, i.e. about three ‘rooms’ so to speak large rooms. Those rooms are already beautiful to see because of the grandeur of such an old building. People who claim and report to have been outside within 15 minutes have sold themselves short. Everything you see has to do with cats. From advertising posters, paintings to drawings and photos of acquaintances from home and abroad with their beloved four-legged friend. You can indeed run through it but then you miss the sweet notes from the owners to their sweet cat, the meal of Choupette by Karl Lagerfeld or the poems of Wolkers, tableware, and much more beautiful. If you expect a cat café then yes, but it is also a museum... Last week we were allowed to pet one of the present gentlemen of the house who was flattered on a couch, and he purred that it was good... Price is on the Amsterdam side and a bit high euro 12,50 but och for a cup of coffee you pay nowadays.... and you enjoy that less long and after.",Sep 2024,Couples,date_with_label,正面,正面
5,"You can enjoy antiques and posters related to cats. While the exhibition isn't very large, it's understandable given the small rooms. There are also posters in the backyard, where you can take a refreshing break while viewing them. Some reviews mention 'not seeing any cats,' but it's important to remember that the cats aren't employees. Those who are observant might spot a cat hiding in the backyard. If you're lucky, you may even get to pet one dozing peacefully on the floor.",Sep 2024,Solo,date_with_label,正面,中立
3,"I was disappointed, it was quite expensive for what it was…. Only took 20 mins to go through…but as we only went to kill some time it served a purpose. There isn’t much to read to tell you about the art and the artist. It is also very small! I didn’t even see any of the real cats people mentioned! I love cats but this was a bit boring! I wanted to learn something! Some cool cat pieces though!",Aug 2024,Couples,date_with_label,負面,負面
4,It was very nice and I liked that they had 5 cats they were friendlies but the only problem was that it was very tiny but it's still a little cool experience.,Aug 2024,,date_only,正面,正面
4,"it’s really nice but it’s a bit too expensive :/we loved the artwork but it’s so hot in there and not that many rooms, the real cats are the highlight",Aug 2024,,date_only,中立,負面
2,It was a fun experience and for a £5 student ticket not too bad however there were only 2 cats and it took us a total 30 minutes to finish the entire thing. Can’t say I would do it again but it was quite fun.,Aug 2024,Couples,date_with_label,中立,中立
2,"I was so excited when havign found this museum and honestly veyr excited to meet the cats especially. The art is pretty no lie but ALL the cats except for one was there and honestly this is very disappointing as the msueum is shocasing the cats wandering around the rooms (even if they have a character and do not allow to be petted) but they're still there. For that reason I do not recommend it and would not go back, and I feel it was way too overpriced for what it offers in reality.",Aug 2024,,date_only,負面,負面
5,"I visited on a Thursday morning. It started off quiet but the traffic picked up. There were two cats in residence that were delightful! On view for visitors included artwork, sculptures, and all sorts of knick knacks. There was a garden but it was closed off due to renovations.",Jul 2024,Solo,date_with_label,正面,正面
4,Interesting museum and a must see for any cat lovers. However there were only a couple rooms open so there wasn’t much to see and we unfortunately didn’t see the cats :( Other than that we had a lovely visit. Staff were very friendly and helpful,Jul 2024,Friends,date_with_label,中立,中立
5,"A small museum dedicated to cats, in the form of posters, advertisements, paintings, statues...It is done fairly quickly, in about 30 minutes, including a short tour through the garden. Perfect for cat lovers, admission is 10€. We were able to cross the path of the matous who inhabit the premises. Small friendly activity to do if you have some free time.",Jul 2024,Friends,date_with_label,正面,正面
4,"This was a fun and cozy museum. Lots of art about cats and with cats in. We also saw a cat, but it was so popular that we were not greeted. Very cool that they have kept the room and interior a little like it was original, so you get to see a little how these old houses look inside too. Recommend a visit.",Jul 2024,Couples,date_with_label,正面,正面
3,This “cabinet” or museum is recommended only when you really do not have access to the Internet where you can google some cat portraits of (famous) people with (their) cats… that was the main room of this “cabinet”. There are no tickets when you pay the fee 🤔 Would not come again but you can give a try to it 😉,Jul 2024,Solo,date_with_label,負面,中立
4,The beautiful old building houses a fun and different exhibition of art etc. All together with cats as the through theme. We even met a couple of live cats in there!There is also a small museum shop on site.,Jul 2024,,date_only,正面,正面
3,Quick visit.No possibility to visit the garden currently because is under construction.Friendly and smiling staff,Jun 2024,,date_only,正面,正面
5,Small museum but SO lovely for any cat lovers !! The staff are friendly and it is just such an enjoyable experience. There is a cute little shop with loads of cat memorabilia - so cute!,May 2024,Friends,date_with_label,正面,正面
4,"This is a great, quirky place to visit. We got to see two of the house cats and love all of the memorabilia and artwork in the house. It doesn't take too long to visit but worth it just to see the cats.",Apr 2024,Couples,date_with_label,正面,正面
4,It's a small museum but very cute nonetheless. Quite a big variation when it comes to cat themed art pieces. And of course there are a couple cats roaming around which is super fun 🐈‍⬛🐈‍⬛,May 2024,Friends,date_with_label,正面,正面
1,The door was locked today 11:00 am.  Saw a sign stating they open 12:00 pm.  I returned 1:30 pm. - door still locked.  Website states it opens 10:00am.  Not impressed & not returning.,May 2024,Solo,date_with_label,負面,負面
1,"Basically a  two storey house of cats photos, posters and cats ornaments!  Didn't see any real cats just a litter box and some chickens in the garden!  10mins in and out for €10. Not worth!!",May 2024,Couples,date_with_label,負面,負面
3,Interesting if you want to see posters/posters/advertising or various objects related to cats. Otherwise go your way you will earn 10€ per person. And we go around quite quickly (15/20 min).,May 2024,,date_only,中立,中立
5,"This is a great little museum of all things cats. Lots of art and photography, including a Picasso. And there are a few cats wandering around.",Mar 2024,,date_only,正面,正面
4,"Quirky, off-beat, run by cat lovers.  If you love cats, you'll love this place.  If you don't, you'll feel you have wasted your 10 euros entrance fee.  If it's for you, this is a good place to spend an hour.Located in an old mansion house, on several floors and with a back garden (open in early March), Katten Kabinet is a labour of love for all things cat.  Lots of pictures, many featured cat themed advertisements going back to the late nineteenth century.  Cat themed furniture, cat themed antiques, cat themed ornaments, cat themed items to buy (many being posters or cards of the advertisements), you get the gist.It's also home to a couple of cats; if you're lucky you may see one (totally ignoring all things human, it's nothing personal).Well, we liked it.",Mar 2024,,date_only,正面,正面
2,"The idea is just brilliant.The house is a collection dedicated to cats in all their forms, including works by well-known artists.It's nice.On the other hand, there is a smell of cat urine.We saw a litter box and cat poop next to it.And finally of this enormous residence, you will only be able to visit the first floor.So €10 sounds like a tourist scam!",Feb 2024,,date_only,負面,負面
3,"There are actually only 2 rooms, so you can get there in less than 5 minutes. So it was actually quite disappointing. The garden is also only open for a very limited period of the year.",Feb 2024,Friends,date_with_label,負面,負面
4,"Cute little museum with a bunch of cat memorabilia and paintings throughout the years. The back garden isn't open in the winter which was the only bad thing for us! This place has two kitties sleeping around, very good ☺️",Jan 2024,Couples,date_with_label,正面,正面
3,"Definitely one for cat lovers! This museum is full of cat paintings, statues and many other forms of cat memorabilia. There are also a few live feline friends running around who are absolutely adorable. The staff are friendly and polite. Unfortunately the experience is overpriced at €10 per person. We were in and out within about 25 minutes. Compared with some of the other museums, this doesn't represent great value for money. All bags are removed from you at the door and there are no lockers, they are simply looked after by the staff.",Nov 2023,Couples,date_with_label,中立,負面
1,"There are exactly three small rooms + a souvenir shop. Very disappointing for 10 euros per person and not recommended. All visitors rush at the cats running around, I'm not surprised that they get scared and run away.",Oct 2023,Couples,date_with_label,負面,負面
5,"Very much enjoyed this museum. It's very small and super cute, you can do it within 30-45 mins comfortably. They also have actual cats there, the highlight was being able to pet them! The staff were very nice and helpful - they gave us treats to feed the cats! Well worth a visit if you love cats.",Sep 2023,Couples,date_with_label,正面,正面
4,"I love cats, if you love cats then this is a fun place to visit. If you are lucky you might also see and meet one of the cats that live there. Clearly run by cat lovers, the furniture, posters, pictures and decor are every dog lover and cat hater's nightmare. My visit lasted about 30 minutes, but I did leave smiling.",Sep 2023,Solo,date_with_label,正面,正面
4,"Lots of art and artefacts for cat lovers and there were even 3 real life cats I spotted during the visit- though you are warned to pet the cats at your own risk! The garden was open and it was a nice place to sit in the fresh air and look at some vintage cat based advertising posters from all over Europe. The visit won’t take long, but if you like cats it’s definitely worth the trip. There is also a shop with numerous cat postcards and artworks.",Aug 2023,Solo,date_with_label,正面,正面
5,One of those quirky fun mini-museums that makes Amsterdam so fun. Lots of art and old advertisements featuring cats hosted in a beautiful old home. Really fun!,Aug 2023,,date_only,正面,正面
5,"The kattenkabinet is such a cute little place with some really cool cat pieces that make you smile! It’s only very small but is packed with amazing things and beautiful architecture, the two cats that we saw were extremely friendly and so sweet to have a little cuddle with! Would highly recommend if you have a spare half an hour, love cats, and want to do something that is out of the usual tourist traps :)",Aug 2023,Friends,date_with_label,正面,正面
3,"We only saw 2 cats.  There is so much potential here, but it isn’t being well-utilized.  One cat was a little friendly and the other was clearly not interested.  A few orange tabbies and this place could be booming with happy cat-loving customers.  We miss our home cats and this did not give us an opportunity to love on the local cats.",Jul 2023,Couples,date_with_label,負面,負面
5,"If you like cats, go there. So much fun to see. Also you get a got look how an old Amsterdam house is looking inside.",Jul 2023,,date_only,正面,正面
5,More cats needed. Only three cats were seen and two chickens that seemed to be more friendly than cats,Jul 2023,,date_only,負面,中立
2,"Three rooms with photos, statues and paintings of cats or people with cats. Some quotes about cats. A small garden with some seating. A shop selling posters and postcards of the artwork. Supposedly there are cats here, but we only saw 2. One was in a private area and the other was completely disinterested in us and ran off. Not really a place to go if you want to actually meet some cats, more if you just want to see some weird art vaguely related to cats (some of it was adverts that happened to include a cat).Honestly, not worth the €10 entry fee. Also you have to check your bags which is fine, but they just sit in the entry hall for anyone to steal so not super comfortable with that. If you like a weird museum, then it's maybe worth a visit, otherwise don't bother.",Jul 2023,Couples,date_with_label,負面,負面
1,"Actually I haven’t even gone yet. I went to the website and purchased a single adult ticket. The company that handles the ticket purchases hasn’t sent a ticket to my email yet. The amount has posted to my Visa so it’s been paid. I contacted them. They asked for a picture. I sent them a picture of the ‘Thank you for your order’ page, and one of the amount posted to my Visa. So far..no response.  Am I too far out for ordering a ticket? My visit isn’t until August.  I bought the ticket 3 days ago.  How long did others wait for their email ticket?  Thank you.",Jun 2023,Solo,date_with_label,負面,負面
4,"I love cats and had to visit this obscure museum.  You will see posters, paintings, sculptures and photographs of persons that love cats.  Was happily surprised to walk around and see living cats amongst the treasures.  Only go if you love cats!",May 2023,Couples,date_with_label,正面,正面
5,"Enjoyed being surrounded by all things CAT!  It's not a big or fancy place, but it's filled with some terrific pieces.  Thoroughly enjoyed it.  And loved the resident cats!  Gave me a much needed cat fix while missing my own.  (But don't pet the black one anywhere except the top of his head!)  ;)",May 2023,,date_only,正面,正面
3,"A fun concept with lots of potential, but ultimately disappointing.  There were plenty of cat-related items and pictures and only minimal information.  For example, two walls of photos of famous people and their cats, but no identifying labels.  OK for a short visit, but not worth the cost of admission in my opinion.",Apr 2023,,date_only,負面,負面
4,"Loved the cat museum! Had an enjoyable visit with my 10 year old boy. Only thing I will say is, there were litter trays around as expected with cats! However in one of the rooms there was a poop smell lingering for the entire hour they we were there. I feel like this is something that could be better monitored by staff.",Apr 2023,,date_only,正面,中立
3,"This was a funny little place with a ton of pictures of famous people with cats, and famous quotes about cats. There was also one cat wandering around that you could pet. Other than that...there was nothing much to it. I expected more information about cats in general, and the garden outside was closed. I had a much more enjoyable time at other museums that were worth way less. I suggest discounting the price if the garden area is closed.",Apr 2023,,date_only,負面,負面
5,"Cute museum filled with cats! Worth a visit. Quirky, unexpected find while visiting Amsterdam, highly recommend spending an hour in here!",Apr 2023,Couples,date_with_label,正面,正面
4,Not a true cat lover if you don’t visit! I was visiting Amsterdam for a weekend and had to come to the Cat museum. It’s not the biggest of places but it’s for a true cat lover ❤️ as we came in we were approached by a lovely feline who made her way upstairs (like she was showing us the way).It was a lovely experience and to see that the cats are well looked after makes me really happy ❤️ see you soon kitties,Mar 2023,Couples,date_with_label,正面,正面
5,"As a cat lover I was really looking forward to visiting this museum and I was not disappointed.  The location was better than expected, being in a canal house on a lovely canal and very close to the Willet-Holthuysen Museum which we visited on the same day.  Yes, they have two cats roaming the rooms who will let you pet them.  It is a small museum and doesn't take a lot of time, but I thought it was well worth the price of admission. Their shop has many posters and postcards of the featured pieces.",Feb 2023,,date_only,正面,正面
3,"If you love cats and have a half an hour spare then I do recommend going.. it’s a very small museum with some interesting pieces, however it is a little overpriced for what is there (they do have a garden but this was closed due to the weather). The highlight of the visit are 2 cats who were laying around which you could fuss.",Mar 2023,Couples,date_with_label,中立,中立
3,"Lots of adverts and art work involving or about cats, nothing more, it was cheap (ish) entry and 3 average sized rooms full of art.It's a decent way to pass half an hour, but I could only suggest going if you have a few extra euros left towards the end of your trip and time spare.I love cats, and wanted to enjoy this place a lot more, it's fine, nothing amazing and a very short visit over all.",Mar 2023,Couples,date_with_label,中立,負面
5,"Perfect for cat lovers! My partner was in their element. A bit of strange energy in the fact it’s very old fashioned, a tad creepy but still fun. Can see real life cats also which is great! A little gift shop too that is nice. Only 5€ for students so very inexpensive!",Feb 2023,Couples,date_with_label,正面,正面
4,"Cute but small museum with a tiny giftshop woth very fun postcards and posters. I bought a poster to take home. It comes in a hard container so it doesn’t get ruined in the plane. I recommend this place if you like cats and small museums, but don’t expect anything too fancy cause this is a very small museum.",Feb 2023,Friends,date_with_label,正面,正面
4,"Pictures of cats, posters of cats, paintings of cats, even a mummified cat, you get the idea. A nice niche gallery and worth a visit if you like cats. Half price entry with a Go City pass, otherwise it feels a bit expensive.",Nov 2022,Couples,date_with_label,正面,正面
3,"The collection of this museum is on one floor of a townhouse on a canal. The ground floor hosts a gift shop and the entrance, the floors above are the home of the owner. The rooms are home to four living cats, including one that we met who loved pets and purred. The rest is a collection of cat themed art - posters, sculptures, paintings and a mummified actual cat from ancient Egypt.If you like cats, or whimsical short visits, you will love this place. If you do not, you won't. In our case, the kid loved it, especially the hidden cat art pieces, and most of all the actual cat.",Nov 2022,,date_only,正面,正面
2,"Totally underwhelmed. Love cats but think this was money not well spent. Sorry. It's just on one floor. Some pictures, some statues.",Jacks200223 contributions1,,unknown_format,負面,負面
4,"I read other reviews for this museum before I went and they helped me to set appropriate expectations for the experience. I think if you consider this a novelty museum instead of being similar to the Rijksmuseum then that will help you decide if it's right for you to visit.If you're on a budget, don't have a lot of time, or don't really like cats you might want to skip this one. It's cute if you like cats, but it only took me about 20 minutes to walk around it (including the outside area), so the 10€ entry price felt a little steep.",Aug 2022,Solo,date_with_label,中立,中立
5,"This is a very popular museum due to its fame on social media, and because of staff vacations, it was only open two days a week when we visited. The queue was out the door, but moved quickly. The lone member of staff, who was selling tickets and also handling sales from the gift shop, was friendly and welcoming. There are several rooms of art and cat-related quotes, a lovely little garden decorated with large vintage cat-related advertising, and a little gift shop with posters, postcards and other cat-related items at very reasonable prices. Plus cats! We saw one very friendly cat when we visited, but the others were probably taking shelter elsewhere from the summer heat. The museum costs £10 for an adult ticket, £5 for students and took us about 45 minutes for a thorough visit, including the gift shop. We felt it was good value for money and would recommend it to anyone interested in cats. It’s also a great chance to peek behind the doors of one of Amsterdam’s historic canal houses.",Aug 2022,,date_only,正面,正面
4,"Right in the center of crowded and hectic Amsterdam, there is this little cat lovers’ gem. The museum is not too big, but the items are nice and the garden is a real treat. You could argue about the price being too high, but frankly 10 euro/adult is the price of 1 cappuccino or 5 minutes parking in the city.If you are into cats (arty ones and real ones), then make sure to stop by for 30-45 minutes of joy. If you are into dogs, go find something else…",Aug 2022,,date_only,正面,正面
5,"I love Cats, so it was the place to be in Amsterdam. Only one cat but he was so cute and so happy to be there. To see so many advertising posters with cats, it's crazy, I couldn't resist taking one, I love it! And card games and dollars...",Jul 2022,,date_only,正面,正面
2,"We expected much much more, but it was quite fun to see certain cartoons, paintings and drawings. Of course the cats were a great sight too. Staff is not unfriendly, unlike some others say here. The woman behind the counter is just very... rigid...10 euros for a visit here is too much in our opinion, half the price would have been sufficient (the cats need to be fed eventually!). Overpriced, but still worth a visit if they ever get to the right value for money. We were outside within 30 minutes.",Jun 2022,,date_only,中立,中立
5,"Beautiful, ornate gallery, wonderful art, posters and paintings..staff were lovely, and even kitties on duty!",Jun 2022,Couples,date_with_label,正面,正面
1,"€10 entry per person for 3 rooms with a couple of cartoonist and abstract style cat posters framed and some cat ornaments/sculptures.  Took us 10 minutes and we went round twice. I have more in my own home and the woman at reception  is incredibly cold.  Probably because she knows this is a rip off and is thinking I'm an idiot for paying in and in fairness, I thought the same. Avoid.",Jun 2022,Couples,date_with_label,負面,負面
1,"""Not for Children"" WORST museum thanks to rude, anti-child staff. My son needed the bathroom and immediately asked when we entered. ""Hello, good afternoon"" she coldly and sarcastically said looking at my innocent, 7 year old son very rudely. She yelled at him to lift the seat in the bathroom and reprimanded my 10 year old not to touch her tacky fake USD with cats for sale with ""wet hands"" despite the fact that his hands were not wet. When we left she said ""THIS IS NOT REALLY A MUSEUM FOR CHILDREN""😪😰. A museum about cats not for kids? It's a sex or drug museum? I said ""that's clear"" and ""that should be on the website"". She is the only really impudent, rude and stupid person that we have met in the Netherlands.",Feb 2022,,date_only,負面,負面
5,"The hotel is easily found and they are super chill with getting there a little later than the time slot you paid for. Super nice receptionist. The hotel itself has many cute cat memorabilia like paintings, sculptures and drawings of cats. But also the architecture and interior design itself are worth mentioning. You feel like you have been transported throughout time into the home of a king or queen who loves cats. The beautiful floor, carpets, walls, wallpapers and chandeliers feel so elegant and authentic, combined with the view of the canals, it’s truly an amazing atmosphere. But the crowning jewels are the two cute cats that wonder around and occasionally accompany you to the next room. The black and white cat is really chill and cute and likes to sleep on the couch. The white one follows you around and rubs up against your legs, really adorable. Please visit this museum, it’s fun, cute and beautiful.",Oct 2021,,date_only,正面,正面
1,"Had booked 2 tickets online as we (myself and my mother) were spending 2 days in Amsterdam and thought we could visit this museum before going back home.  We were greatly dissapointed. Not only did we arrive at the museum to find it closed, there were multiple people there that had also pre booked and left equally dissapointed.  As they only opened at 12 pm we also wasted our morning waiting around until we could go there, then wasted a good hour waiting to see if they would open, answer their phone/doorbell or show any sign of life at all other than the cat that came to investigate.Furthermore I sent them an email requesting a refund of my ticket, and have yet to hear back from them.I would love to be able to give them a positive review but that is impossible if they won't even open on the day that they accept bookings.",Sep 2021,,date_only,負面,負面
2,"Honestly don’t waste your money , went with a huge car enthusiast but was greatly disappointed , unless you love unusual feline art like sculptures or photographs and quotes of famous people’s thought on cats don’t go , expected from the reviews to the museum to be filled with cats , I saw 3 , no in the gift shop , and the outdoor museum wasn’t even open ... better ways of spending an afternoon and €10",Mar 2020,Friends,date_with_label,負面,負面
3,"Curious little exhibition dedicated to man's furry, enigmatic companion, the cat. The collection is laid out on a single floor, a few rooms stuffed with cat related memorabilia and curiosa. The entrance fee of 7.50 EUR I found a bit stiff given the amount of experience, I mean it's just a lot of cat stuff heaped together. If you're a cat fanatic I suppose it's worthwhile. I did take some pleasure in observing a piece by Hildo Krop, the famous Amsterdam City sculptor, featuring amorous cats. For the rest, meh.",Dec 2019,Solo,date_with_label,中立,中立
3,"The tickets are pricey considering how little there is to see. There are literally 3 rooms filled with mainly cat sculptures and photos of famous people with cats. Also there are real cats roaming around the place. It says it takes 30 minutes to visit, but we were done after 20. Not sure what else to say.",Feb 2020,,date_only,負面,負面
